gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
476843829	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Mamm:BOM-5358	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii	nicaraguae	SUBSPECIES	Felis wiedii nicaraguae (J.A.Allen, 1919)	Felis wiedii nicaraguae (J. A. Allen, 1919)	(J. A. Allen, 1919)	CR	Talamanca	Limón	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	9.51604	-83.02503	53031.0	1.0E-5					1839-01-01T00:00:00	1	1	1839	6164541	2434950	PRESERVED_SPECIMEN	MCZ	Mamm	BOM-5358		[no agent data]		CC_BY_NC_4_0	President and Fellows of Harvard College	William More Gabb			2023-09-28T09:15:19.346Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
476813558	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Mamm:5719	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis	mearnsi	SUBSPECIES	Felis pardalis mearnsi J.A.Allen, 1904	Felis pardalis mearnsi J. A. Allen, 1904	J. A. Allen, 1904	CR	Talamanca	Limón	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	9.51604	-83.02503	53031.0	1.0E-5					1839-01-01T00:00:00	1	1	1839	6164577	2434982	PRESERVED_SPECIMEN	MCZ	Mamm	5719		[no agent data]		CC_BY_NC_4_0	President and Fellows of Harvard College	William More Gabb			2023-09-28T09:10:33.340Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
45869665	847e2306-f762-11e1-a439-00145eb45e9a	urn:catalog:LSUMZ:Mammals:13378	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus tigrinus		SPECIES	Leopardus tigrinus (Schreber, 1775)	Leopardus tigrinus		CR	Ca. 4 km SW Cerro Chirripo	San José Province	PRESENT		c361e830-181e-11da-9544-b8a03c50a862	9.474	-83.526							1967-05-15T00:00:00	15	5	1967	2434930	2434930	PRESERVED_SPECIMEN	LSUMZ	Mammals	13378				CC0_1_0		Gardner, Alfred L.		Native	2023-09-07T07:18:50.495Z		INSTITUTION_COLLECTION_MISMATCH
45869664	847e2306-f762-11e1-a439-00145eb45e9a	urn:catalog:LSUMZ:Mammals:13377	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus tigrinus		SPECIES	Leopardus tigrinus (Schreber, 1775)	Leopardus tigrinus		CR	La Piedra	San José Province	PRESENT		c361e830-181e-11da-9544-b8a03c50a862	9.5	-83.667							1967-02-01T00:00:00	1	2	1967	2434930	2434930	PRESERVED_SPECIMEN	LSUMZ	Mammals	13377				CC0_1_0		Gardner, Alfred L.		Native	2023-09-07T07:18:50.495Z		INSTITUTION_COLLECTION_MISMATCH
45869301	847e2306-f762-11e1-a439-00145eb45e9a	urn:catalog:LSUMZ:Mammals:10219	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR	14 km NE Potrero Grande	Puntarenas Province	PRESENT		c361e830-181e-11da-9544-b8a03c50a862	9.106	-83.093							1965-06-28T00:00:00	28	6	1965	2434982	2434982	PRESERVED_SPECIMEN	LSUMZ	Mammals	10219				CC0_1_0		Arnold, Keith A.		Native	2023-09-07T07:18:50.352Z		INSTITUTION_COLLECTION_MISMATCH
45869265	847e2306-f762-11e1-a439-00145eb45e9a	urn:catalog:LSUMZ:Mammals:9289	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR	Gromaco, 15 km ESE Potrero Grande	Puntarenas Province	PRESENT		c361e830-181e-11da-9544-b8a03c50a862	8.965	-83.057							1963-02-03T00:00:00	3	2	1963	2434982	2434982	PRESERVED_SPECIMEN	LSUMZ	Mammals	9289				CC0_1_0				Native	2023-09-07T07:18:50.414Z		INSTITUTION_COLLECTION_MISMATCH
4413373003	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/173940008	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR		San José	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.471794	-83.577721	21.0						2023-07-13T20:35:00	13	7	2023	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	173940008		Roberto R. Calderón	2023-08-19T01:20:33	CC_BY_NC_4_0	elliehawcutt	elliehawcutt			2023-09-28T14:01:11.503Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4407654560	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/181853109	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii		SPECIES	Leopardus wiedii (Schinz, 1821)	Leopardus wiedii		CR		Guanacaste	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.292785	-84.669562	31199.0						2023-03-06T21:29:00	6	3	2023	2434950	2434950	HUMAN_OBSERVATION	iNaturalist	Observations	181853109		aidanhawk444	2023-09-05T02:53:10	CC_BY_NC_4_0	aidanhawk444	aidanhawk444			2023-09-28T12:38:23.588Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4407639677	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/181853126	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Guanacaste	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.37163	-84.640597	31199.0						2023-03-05T04:38:00	5	3	2023	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	181853126		aidanhawk444	2023-09-05T02:53:15	CC_BY_NC_4_0	aidanhawk444	aidanhawk444			2023-09-28T12:52:32.504Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4407618419	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/181853135	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Guanacaste	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.341556	-84.608598	31199.0						2023-03-06T21:13:00	6	3	2023	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	181853135		aidanhawk444	2023-09-05T02:53:17	CC_BY_NC_4_0	aidanhawk444	aidanhawk444			2023-09-28T12:32:57.830Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
